,Name,Authors,Rating,ISBN,PublishYear,RatingDist5,RatingDist4,RatingDist3,RatingDist2,RatingDist1,RatingDistTotal,CountsOfReview,no_pages,genre1,genre2,final genre
0,Ramona's World (Ramona Quimby #8),Beverly Cleary,4.11,0688168167,2020,4367,3611,2166,355,97,10596,9,240,Ramona Quimby (Fictitious character),Juvenile Fiction,Humor/Family
1,Ball Complete Book of Home Preserving,Judi Kingry,4.26,0778801314,2020,4180,2563,1210,223,129,8305,123,448,Cooking (Fruit),Cooking (Vegetables),Self-Help
2,Imogene's Antlers,David Small,4.17,037581048X,2020,3392,2328,1410,241,71,7442,222,32,Children's fiction,"Emotions, fiction",Humor/Family
3,Layer Cake,J.J. Connolly,3.99,071563335X,2020,464,614,306,57,20,1461,16,309,,,Suspense/Mystery
4,Tornado,Betsy Byars,3.93,0064420639,2020,426,378,287,71,28,1190,133,64,Children's fiction,"Dogs, fiction",Suspense/Mystery
5,"The Greek Who Stole Christmas (Diamond Brothers, #7)",Anthony Horowitz,3.89,1406304859,2020,325,290,266,65,11,957,48,86,Nick Diamond (Fictitious character),Private investigators,Suspense/Mystery
6,"Blaze and the Dark Rider (Pony Club Secrets, #2)",Stacy Gregg,4.37,0007245173,2020,369,151,79,20,7,626,18,256,Fiction,Juvenile Fiction,Fantasy/Adventure
7,The Lighthouse Stevensons,Bella Bathurst,3.92,0007204434,2020,135,208,111,22,7,483,1,265,Lighthouses,Design and construction,Biography/Historical
8,Redefining Our Relationships: Guidelines for Responsible Open Relationships,Wendy-O Matik,3.75,1587900157,2020,114,151,104,42,11,422,52,112,,,Self-Help
9,Fear in the Forest (Crowner John Mystery #7),Bernard Knight,4.05,0743449908,2020,144,161,89,11,4,409,19,432,,,Suspense/Mystery
10,"Julie of the Wolves (Julie of the Wolves, #1)",Jean Craighead George,3.81,0064400581,2019,15358,18544,14185,3702,1251,53040,1463,176,Juvenile fiction,Eskimos,Fantasy/Adventure
11,The Art of Loving,Erich Fromm,4.04,0061129739,2019,19395,15862,8971,2487,1217,47932,1337,192,Love,Liefde,Self-Help
12,The Blue Bistro,Elin Hilderbrand,4,0312992629,2019,8312,9993,5396,1122,226,25049,1691,356,Cooks,Restaurateurs,Romance
13,The Little Old Lady Who Was Not Afraid of Anything,Linda   Williams,4.26,0064431835,2019,8699,4579,2837,516,157,16788,580,32,Fear,Juvenile fiction,Humor/Family
14,Squee's Wonderful Big Giant Book of Unspeakable Horrors.,Jhonen Vásquez,4.19,0943151244,2019,4594,2857,1620,381,127,9579,154,146,Comics & graphic novels,"Humor, form, comic strips & cartoons",Horror/Thriller
15,"Breathing Underwater (Breathing Underwater, #1)",Alex Flinn,3.9,0064472574,2019,2606,2690,1819,494,181,7790,927,263,Child abuse,Diaries,Memoir
16,The Painted Drum,Louise Erdrich,3.86,0060515112,2019,1829,3022,1703,417,97,7068,784,304,Fiction,Indians of North America,Poetry/Novel
17,Flu: The Story Of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Kolata,3.91,0743203984,2019,1850,2537,1525,312,96,6320,334,352,Influenza,History,Biography/Historical
18,In the Year of the Boar and Jackie Robinson,Bette Bao Lord,3.85,0064401758,2019,1537,2049,1456,288,116,5446,421,176,Schools,Chinese Americans,Historical/Fiction
19,Elegance,Kathleen Tessaro,3.41,0060522275,2019,700,1317,1657,609,155,4438,383,390,Fiction,Clothing and dress,Poetry/Novel
20,"A Bear Called Paddington (Paddington, #1)",Michael Bond,4.23,0007174160,2018,35280,22405,12504,2121,682,72992,994,159,Bears,Bears in fiction,Romance
21,The Collected Poems,Sylvia Plath,4.21,0061558893,2018,15973,10647,4962,1132,613,33327,70,384,Poema,Poetry,Poetry/Novel
22,Red Scarf Girl: A Memoir of the Cultural Revolution,Ji-li Jiang,3.73,0061667714,2018,2762,4784,3203,813,382,11944,21,320,"China, juvenile literature","China, history",Biography/Historical
23,Bottomless Belly Button,Dash Shaw,4,1560979151,2018,2115,1643,1103,340,106,5307,252,720,Families,"Comic books, strips",Novel
24,The Contender,Robert Lipsyte,3.63,0064470393,2018,974,1325,1279,379,152,4109,54,240,Juvenile fiction,Boxing,Novel
25,Wildlife,Richard Ford,3.7,0871133482,2018,527,1109,792,203,43,2674,12,177,Fiction,Great Falls (Mont.),Novel
26,Paddington,Michael Bond,4.22,0007236336,2018,1170,928,432,59,16,2605,7,32,Pictorial works,Juvenile fiction,Humor/Family
27,Instant Millionaire Loth,Mark   Fisher,3.67,0931432642,2018,643,611,537,223,121,2135,1,131,Fiction,Millionaires,Self-Help
28,The Conservative Mind: From Burke to Eliot,Russell Kirk,4.13,0895266709,2018,628,425,229,68,29,1379,0,535,History,Philosophy,Non-Fiction
29,The Reluctant Empress,Brigitte Hamann,4.14,3548354793,2018,531,525,234,46,7,1343,79,430,Empresses,Biography,Biography/Historical
30,"Perfect Shadow (Night Angel, #0.5)",Brent Weeks,4.16,0316477400,2017,6078,5278,2666,425,90,14537,24,136,Paranormal fiction,Assassins,Horror/Thriller
31,Anansi the Spider: A Tale from the Ashanti,Gerald McDermott,4.11,0833513605,2017,2859,2007,1322,294,78,6560,1,32,Anansi (Legendary character),Ashanti (African people),Folklore
32,Rick Steves' Europe Through the Back Door,Rick Steves,4.24,1566918081,2017,2342,1792,727,105,59,5025,72,808,Guidebooks,"Europe, guidebooks",Travel
33,"Dereliction of Duty: Lyndon Johnson, Robert McNamara, the Joint Chiefs of Staff, and the Lies That Led to Vietnam",H.R. McMaster,3.75,0060187956,2017,1288,1303,757,393,246,3987,5,480,Politics and government,"Vietnamese Conflict, 1961-1975",Biography/Historical
34,"Bone Cold (The Malones, #1)",Erica Spindler,4.11,0778300919,2017,1482,1499,721,112,42,3856,3,506,"New orleans (la.), fiction","Fiction, mystery & detective, general",Suspense/Mystery
35,Winter Journey,Diane Armstrong,4.05,0732276950,2017,1128,1181,567,119,52,3047,167,467,War crimes,Australians,Poetry/Novel
36,Dirty Deeds,Lorelei James,3.93,,2017,743,815,593,115,28,2294,88,255,,,Romance
37,"The Tarot Cafe, #1",Sang-Sun Park,3.88,1595325557,2017,692,514,474,147,51,1878,86,176,Graphic novels,"Comic books, strips",Fantasy/Adventure
38,"Dramacon, Vol. 2",Svetlana Chmakova,4.23,159816130X,2017,930,542,297,65,26,1860,82,196,Man-woman relationships,Love,Romance
39,Darcy's Passions: Pride and Prejudice Retold Through His Eyes,Regina Jeffers,3.6,,2017,399,455,440,165,82,1541,162,386,,,Romance
40,Shoe Dog,Phil Knight,4.48,,2016,92671,40095,11046,2495,1760,148067,616,402,,,Biography/Historical
41,On Writing Well: The Classic Guide to Writing Nonfiction,William Zinsser,4.26,0060891548,2016,9789,7591,2987,504,114,20985,1407,336,English language,Exposition (Rhetoric),Self-Help
42,Pinkalicious,Victoria Kann,4.06,0060776390,2016,8967,4829,3634,1214,560,19204,817,32,Fiction,Pink,Humor/Family
43,The Magic Mirror of M.C. Escher,Bruno Ernst,4.12,3822837032,2016,6275,3687,2161,636,412,13171,25,116,Composition (Art),"Escher, m. c. (maurits cornelis), 1898-1970",Non-Fiction
44,Nobody's Boy,Hector Malot,4.34,,2016,6964,3957,1613,322,114,12970,214,255,,,Novel
45,The Shell Collector,Anthony Doerr,4.03,0007146981,2016,3264,3678,1813,424,102,9281,26,224,Grief,Interpersonal relations,Novel
46,"Flying Changes (Riding Lessons, #2)",Sara Gruen,3.71,0061241091,2016,1611,2196,1920,548,154,6429,473,371,Mothers and daughters,Fiction,Novel
47,Stop Pretending: What Happened When My Big Sister Went Crazy,Sonya Sones,3.9,0064462188,2016,1606,1512,1173,327,81,4699,503,145,Family problems,Juvenile fiction,Memoir
48,The Butterfly's Burden,Mahmoud Darwish,4.05,1852247886,2016,1659,1386,766,221,80,4112,1,344,Poetry,Middle Eastern,Poetry/Novel
49,Ice,Anna Kavan,3.72,0720612683,2016,997,1267,850,343,156,3613,373,158,Psychological fiction,Abusive Men,Suspense/Mystery
50,If You Give a Mouse a Cookie (If You Give...),Laura Joffe Numeroff,4.26,0060245867,2015,132544,59720,37608,9488,4340,243700,3841,40,Juvenile fiction,Fiction,Humor/Family
51,Harold and the Purple Crayon,Crockett Johnson,4.25,0064430227,2015,66337,31440,19006,4711,2159,123653,117,64,Animals,Children's Books/Baby-Preschool,Humor/Family
52,The Shell Seekers: A Play,Terence Brady,4.15,0573114161,2015,41371,30316,16268,3529,1272,92756,0,89,,,Poetry/Novel
53,"Caps for Sale: A Tale of a Peddler, Some Monkeys and Their Monkey Business",Esphyr Slobodkina,4.15,0064431436,2015,40394,23042,16127,4004,1260,84827,1362,48,Vendedores ambulantes,"Children's stories, American",Humor/Family
54,Rosencrantz & Guildenstern Are Dead (Acting Edition),Tom Stoppard,4.06,0573013381,2015,32011,26254,14196,4275,1547,78283,5,94,English drama,Motion picture plays,Poetry/Novel
55,Gilead,Marilynne Robinson,3.85,1593978227,2015,27199,24114,16323,6623,2967,77226,71,9,award:national_book_critics_circle_award=2004,National Book Critics Circle Award Winner,Poetry/Novel
56,"The Merry Adventures of Robin Hood of Great Renown, in Nottinghamshire",Howard Pyle,4.07,1294737805,2015,22712,20653,12881,2243,500,58989,3,324,,,Fantasy/Adventure
57,The Problem of Pain,C.S. Lewis,4.1,,2015,19113,15615,7527,1828,1185,45268,131,162,,,Self-Help
58,Apology of Socrates,Plato,4.18,0521059585,2015,14633,10993,5292,1115,463,32496,20,128,Greek language,Ancient Philosophy,Biography/Historical
59,The Prodigious Snob,Miles Malleson,3.76,0573013594,2015,2541,3381,2877,740,180,9719,0,78,,,Poetry/Novel
60,Where the Sidewalk Ends: Poems and Drawings,Shel Silverstein,4.3,0060572345,2014,620980,318514,149503,33788,19179,1141964,180,192,Humorous poetry,American Humorous poetry,Poetry/Novel
61,Three Wishes,Liane Moriarty,3.78,0060586133,2014,21661,42985,30841,4978,998,101463,5238,356,Adult children of divorced parents,Birthday parties,Romance
62,Post Office,Charles Bukowski,3.99,0061177571,2014,30576,39233,18523,4313,1368,94013,198,196,Fiction,Postal service,Novel
63,The Last Anniversary,Liane Moriarty,3.75,0060890681,2014,18719,38203,28152,5004,1069,91147,4857,388,Families,Fiction,Romance
64,Giraffes Can't Dance,Giles Andreae,4.31,0439287200,2014,12675,6515,3270,680,251,23391,1,32,Dance,Stories in rhyme,Humor/Family
